,County,Percent Developable Acres Near Transit,Percent Developable Parcels Near Transit
0.0,Alameda County,37.33%,57.52%
1.0,Contra Costa County,28.48%,34.48%
4.0,Fresno County,7.29%,15.96%
9.0,Los Angeles County,38.99%,55.55%
14.0,Orange County,26.52%,36.78%
16.0,Riverside County,12.7%,19.3%
17.0,Sacramento County,1.73%,3.79%
18.0,San Bernardino County,5.91%,16.85%
19.0,San Diego County,17.57%,41.67%
20.0,San Francisco County,98.1%,98.74%
25.0,Santa Clara County,49.06%,49.37%
